          id  id_match    awaypos    homepos
0          1      1729  45.250000  54.750000
1          2      1730  35.750000  64.250000
2          3      1731  54.500000  45.500000
3          4      1732  50.250000  49.750000
4          5      1733  48.500000  51.500000
5          6      1734  48.250000  51.750000
6          7      1735  49.000000  51.000000
7          8      1736  49.250000  50.750000
8          9      1737  49.333333  50.666667
9         10      1738  38.000000  62.000000
10        11      1739  41.000000  59.000000
11        12      1740  37.500000  62.500000
12        13      1741  50.250000  49.750000
13        14      1742  45.500000  54.500000
14        15      1743        NaN        NaN
15        16      1744  49.500000  50.500000
16        17      1745  45.250000  54.750000
17        18      1746  47.750000  52.250000
18        19      1747  50.250000  49.750000
19        20      1748  47.500000  52.500000
20        21      1749  46.000000  54.000000
21        22      1750  49.250000  50.750000
22        23      1751  48.750000  51.250000
23        24      1752  50.250000  49.750000
24        25      1753  53.000000  47.000000
25        26      1754  47.500000  52.500000
26        27      1755  42.250000  57.750000
27        28      1756  53.000000  47.000000
28        29      1757  57.250000  42.750000
29        30      1758  45.250000  54.750000
30        31      1759  43.500000  56.500000
31        32      1760  45.500000  54.500000
32        33      1761  47.500000  52.500000
33        34      1762  46.500000  53.500000
34        35      1763  39.750000  60.250000
35        36      1764  53.000000  47.000000
36        37      1765  57.500000  42.500000
37        38      1766  52.800000  47.200000
38        39      1767  45.000000  55.000000
39        40      1768  47.500000  52.500000
40        41      1769  42.750000  57.250000
41        42      1770  45.000000  55.000000
42        43      1771  51.500000  48.500000
43        44      1772  35.500000  64.500000
44        45      1773  48.750000  51.250000
45        46      1774  46.000000  54.000000
46        47      1775  47.500000  52.500000
47        48      1776  54.250000  45.750000
48        49      1777  54.000000  46.000000
49        50      1778  47.250000  52.750000
50        51      1779  53.750000  46.250000
51        52      1780  45.000000  55.000000
52        53      1781  41.500000  58.500000
53        54      1782  59.750000  40.250000
54        55      1783  47.500000  52.500000
55        56      1784  52.250000  47.750000
56        57      1785  42.750000  57.250000
57        58      1786  44.500000  55.500000
58        59      1787  54.333333  45.666667
59        60      1788  37.750000  62.250000
60        61      1789  47.000000  53.000000
61        62      1790  49.500000  50.500000
62        63      1791  52.750000  47.250000
63        64      1792  47.000000  53.000000
64        65      1793  48.750000  51.250000
65        66      1794  53.500000  46.500000
66        67      1795  44.250000  55.750000
67        68      1796  45.500000  54.500000
68        69      1797  52.500000  47.500000
69        70      1798  43.500000  56.500000
70        71      1799  28.250000  71.750000
71        72      1800  48.000000  52.000000
72        73      1801  44.500000  55.500000
73        74      1802  43.000000  57.000000
74        75      1803  43.500000  56.500000
75        76      1804  62.333333  37.666667
76        77      1805  54.750000  45.250000
77        78      1806  57.250000  42.750000
78        79      1807  48.750000  51.250000
79        80      1808  52.250000  47.750000
80        81      1809  38.000000  62.000000
81        82      1810  51.500000  48.500000
82        83      1811  64.750000  35.250000
83        84      1812  44.750000  55.250000
84        85      1813  50.250000  49.750000
85        86      1814  48.000000  52.000000
86        87      1815  58.750000  41.250000
87        88      1816  61.250000  38.750000
88        89      1817  52.500000  47.500000
89        90      1818  42.000000  58.000000
90        91      1819  48.000000  52.000000
91        92      1820  43.750000  56.250000
92        93      1821  44.333333  55.666667
93        94      1822  64.250000  35.750000
94        95      1823  51.750000  48.250000
95        96      1824  54.250000  45.750000
96        97      1825  46.333333  53.666667
97        98      1826  42.000000  58.000000
98        99      1827  50.250000  49.750000
99       100      1828  50.750000  49.250000
100      101      1829  32.500000  67.500000
101      102      1830  49.000000  51.000000
102      103      1831  51.500000  48.500000
103      104      1832  49.750000  50.250000
104      105      1833  52.000000  48.000000
105      106      1834  46.250000  53.750000
106      107      1835  48.333333  51.666667
107      108      1836  54.750000  45.250000
108      109      1837  51.500000  48.500000
109      110      1838  37.750000  62.250000
110      111      1839  43.500000  56.500000
111      112      1840  46.000000  54.000000
112      113      1841  45.500000  54.500000
113      114      1842  47.250000  52.750000
114      115      1843  40.500000  59.500000
115      116      1844  56.000000  44.000000
116      117      1845  50.500000  49.500000
117      118      1846  60.750000  39.250000
118      119      1847  51.000000  49.000000
119      120      1848  49.250000  50.750000
120      121      1849  48.000000  52.000000
121      122      1850  43.250000  56.750000
122      123      1851  40.500000  59.500000
123      124      1852  39.750000  60.250000
124      125      1853  55.400000  44.600000
125      126      1854  49.250000  50.750000
126      127      1855  60.833333  39.166667
127      128      1856  53.250000  46.750000
128      129      1857  51.250000  48.750000
129      130      1858  57.750000  42.250000
130      131      1859  44.250000  55.750000
131      132      1860  39.750000  60.250000
132      133      1861  47.250000  52.750000
133      134      1862  43.500000  56.500000
134      135      1863  46.750000  53.250000
135      136      1864  48.000000  52.000000
136      137      1865  57.333333  42.666667
137      138      1866  47.000000  53.000000
138      139      1867  70.000000  30.000000
139      140      1868  49.200000  50.800000
140      141      1869  45.500000  54.500000
141      142      1870  56.500000  43.500000
142      143      1871  45.250000  54.750000
143      144      1872  44.750000  55.250000
144      145      1873  48.000000  52.000000
145      146      1874  52.000000  48.000000
146      147      1875  54.500000  45.500000
147      148      1876  60.500000  39.500000
148      149      1877  53.333333  46.666667
149      150      1878  33.000000  67.000000
150      151      1879  49.666667  50.333333
151      152      1880  42.750000  57.250000
152      153      1881  39.000000  61.000000
153      154      1882  54.500000  45.500000
154      155      1883  44.750000  55.250000
155      156      1884  54.500000  45.500000
156      157      1885  49.250000  50.750000
157      158      1886  36.000000  64.000000
158      159      1887  53.000000  47.000000
159      160      1888  34.750000  65.250000
160      161      1889  44.750000  55.250000
161      162      1890  40.000000  60.000000
162      163      1891  52.750000  47.250000
163      164      1892  50.250000  49.750000
164      165      1893  45.750000  54.250000
165      166      1894  44.500000  55.500000
166      167      1895  51.500000  48.500000
167      168      1896  56.250000  43.750000
168      169      1897  42.750000  57.250000
169      170      1898  59.000000  41.000000
170      171      1899  45.250000  54.750000
171      172      1900  40.500000  59.500000
172      173      1901  58.000000  42.000000
173      174      1902  33.250000  66.750000
174      175      1903  40.500000  59.500000
175      176      1904  44.200000  55.800000
176      177      1905  52.250000  47.750000
177      178      1906  51.500000  48.500000
178      179      1907  48.500000  51.500000
179      180      1908  38.500000  61.500000
180      181      1909  41.000000  59.000000
181      182      1910  37.000000  63.000000
182      183      1911  47.500000  52.500000
183      184      1912  59.000000  41.000000
184      185      1913  46.000000  54.000000
185      186      1914  54.600000  45.400000
186      187      1915  48.333333  51.666667
187      188      1916  48.500000  51.500000
188      189      1917  48.750000  51.250000
189      190      1918  49.750000  50.250000
190      191      1919  43.750000  56.250000
191      192      1920  49.250000  50.750000
192      193      1921  53.000000  47.000000
193      194      1922  49.000000  51.000000
194      195      1923  30.000000  70.000000
195      196      1924  45.500000  54.500000
196      197      1925  51.750000  48.250000
197      198      1926  49.250000  50.750000
198      199      1927  52.000000  48.000000
199      200      1928  47.750000  52.250000
200      201      1929  46.500000  53.500000
201      202      1930  63.250000  36.750000
202      203      1931  50.500000  49.500000
203      204      1932  48.000000  52.000000
204      205      1933  38.000000  62.000000
205      206      1934  42.750000  57.250000
206      207      1935  55.000000  45.000000
207      208      1936  47.750000  52.250000
208      209      1937  49.500000  50.500000
209      210      1938  49.000000  51.000000
210      211      1939  40.500000  59.500000
211      212      1940  44.500000  55.500000
212      213      1941  47.500000  52.500000
213      214      1942  48.200000  51.800000
214      215      1943  50.500000  49.500000
215      216      1944  44.750000  55.250000
216      217      1945  51.000000  49.000000
217      218      1946  52.500000  47.500000
218      219      1947  49.000000  51.000000
219      220      1948  47.000000  53.000000
220      221      1949  43.800000  56.200000
221      222      1950  40.500000  59.500000
222      223      1951  48.750000  51.250000
223      224      1952  39.250000  60.750000
224      225      1953  50.500000  49.500000
225      226      1954  42.333333  57.666667
226      227      1955  53.000000  47.000000
227      228      1956  53.000000  47.000000
228      229      1957  51.250000  48.750000
229      230      1958  51.000000  49.000000
230      231      1959  42.000000  58.000000
231      232      1960  53.000000  47.000000
232      233      1961  53.250000  46.750000
233      234      1962  40.500000  59.500000
